date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:08:35	35710/35710	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2006:54:20%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_57.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_57.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/the-beatles-eight-days-a-week-the-touring/)
22:08:36	8659/8659	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2007:01:22%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_12-1-214x368.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_12-1-214x368.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/comming-soon/page/2/)
22:08:37	10165/10165	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2007:01:00%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_3-1-214x368.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_3-1-214x368.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/comming-soon/page/2/)
22:08:37	16439/16439	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2007:01:26%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_13-1-214x368.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_13-1-214x368.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/comming-soon/page/2/)
22:08:37	2330/2330	---MC-	200	added ('OK')	application/json	date:Tue,%2029%20Sep%202020%2015:08:35%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdemo.amytheme.com%2Fmovie%2Fdemo%2Fmulti-cinema%2Fcinema%2Fgv-vivocity%2F	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embedd98d.json	(from http://demo.amytheme.com/movie/demo/multi-cinema/cinema/gv-vivocity/)
22:08:37	13948/13948	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2007:01:28%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_14-1-214x368.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_14-1-214x368.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/comming-soon/page/2/)
22:08:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Sep%202020%2015:08:37%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/?p=80	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/indexbde5.html	(from http://demo.amytheme.com/movie/demo/multi-cinema/cinema/gv-vivocity/)
22:08:38	821/821	---MC-	200	added ('OK')	application/rss+xml	etag:%22c0ffe209173fe71cd3abf800f58a4315%22	http://demo.amytheme.com/movie/demo/multi-cinema/cinema/gv-vivocity/feed/	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/cinema/gv-vivocity/feed/index.html	(from http://demo.amytheme.com/movie/demo/multi-cinema/cinema/gv-vivocity/)
22:08:38	2413/2413	---MC-	200	added ('OK')	text/xml	date:Tue,%2029%20Sep%202020%2015:08:37%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdemo.amytheme.com%2Fmovie%2Fdemo%2Fmulti-cinema%2Fcinema%2Fgv-vivocity%2F&format=xml	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embeda4c3	(from http://demo.amytheme.com/movie/demo/multi-cinema/cinema/gv-vivocity/)
22:08:40	6309/6309	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2007:01:18%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_10-1-164x220.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_10-1-164x220.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/cinema/gv-vivocity/)
22:08:41	9699/9699	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2007:01:08%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_6-1-164x220.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_6-1-164x220.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/cinema/gv-vivocity/)
22:08:41	8067/8067	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2007:01:04%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_5-1-164x220.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_5-1-164x220.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/cinema/gv-vivocity/)
22:08:41	12316/12316	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2007:01:02%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_4-1-164x220.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_4-1-164x220.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/cinema/gv-vivocity/)
22:08:42	51011/51011	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2006:54:02%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_46.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_46.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/cinema/gv-vivocity/)
22:08:42	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Sep%202020%2015:08:41%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/?p=79	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/index6ffe.html	(from http://demo.amytheme.com/movie/demo/multi-cinema/cinema/gv-plaza/)
